word,conversion,chain length
LASS,BASS,1
LASS,CASS,1
LASS,MASS,1
LASS,PASS,1
LASS,LESS,1
LASS,LISS,1
LASS,LOSS,1
LASS,LAAS,1
LASS,LAUS,1
LASS,LASH,1
LASS,LASK,1
LASS,LAST,1
OPAL,ODAL,1
OPAL,OVAL,1
OPAL,OPAH,1
-ENT,BENT,1
-ENT,DENT,1
-ENT,HENT,1
-ENT,LENT,1
-ENT,MENT,1
-ENT,PENT,1
-ENT,RENT,1
-ENT,SENT,1
-ENT,TENT,1
-ENT,VENT,1
-ENT,WENT,1
-ENT,-ANT,1
-ENT,-EST,1
LASH,BASH,1
LASH,CASH,1
LASH,DASH,1
LASH,FASH,1
LASH,GASH,1
LASH,HASH,1
LASH,MASH,1
LASH,NASH,1
LASH,PASH,1
LASH,RASH,1
LASH,SASH,1
LASH,WASH,1
LASH,LUSH,1
LASH,LAKH,1
LASH,LATH,1
LASH,LASK,1
LASH,LAST,1
TRAM,CRAM,1
TRAM,DRAM,1
TRAM,GRAM,1
TRAM,TEAM,1
TRAM,TRIM,1
TRAM,TRAD,1
TRAM,TRAP,1
TRAM,TRAY,1
LIMA,CIMA,1
LIMA,RIMA,1
LIMA,SIMA,1
LIMA,LAMA,1
LIMA,LOMA,1
LIMA,LIRA,1
LIMA,LIMB,1
LIMA,LIME,1
LIMA,LIMP,1
LIMA,LIMU,1
OSAR,KSAR,1
OSAR,TSAR,1
BIRR,BURR,1
BIRR,BIER,1
BIRR,BIRD,1
BIRR,BIRK,1
BIRR,BIRL,1
BIRR,BIRT,1
BIRT,DIRT,1
BIRT,GIRT,1
BIRT,SIRT,1
BIRT,BORT,1
BIRT,BURT,1
BIRT,BITT,1
BIRT,BIRD,1
BIRT,BIRK,1
BIRT,BIRL,1
BIRK,DIRK,1
BIRK,FIRK,1
BIRK,KIRK,1
BIRK,MIRK,1
BIRK,BARK,1
BIRK,BILK,1
BIRK,BINK,1
BIRK,BISK,1
BIRK,BIRD,1
BIRK,BIRL,1
BEMA,BEGA,1
BEMA,BETA,1
EIRE,FIRE,1
EIRE,GIRE,1
EIRE,HIRE,1
EIRE,MIRE,1
EIRE,SIRE,1
EIRE,TIRE,1
EIRE,VIRE,1
EIRE,EGRE,1
EIRE,EYRE,1
UVIC,URIC,1
ERGO,ARGO,1
TERN,DERN,1
TERN,FERN,1
TERN,GERN,1
TERN,HERN,1
TERN,KERN,1
TERN,PERN,1
TERN,WERN,1
TERN,YERN,1
TERN,TARN,1
TERN,TORN,1
TERN,TURN,1
TERN,TEEN,1
TERN,TERM,1
HEAT,BEAT,1
HEAT,FEAT,1
HEAT,GEAT,1
HEAT,JEAT,1
HEAT,LEAT,1
HEAT,MEAT,1
HEAT,NEAT,1
HEAT,PEAT,1
HEAT,SEAT,1
HEAT,TEAT,1
HEAT,HEFT,1
HEAT,HENT,1
HEAT,HERT,1
HEAT,HEST,1
HEAT,HEAD,1
HEAT,HEAL,1
HEAT,HEAM,1
HIGH,EIGH,1
HIGH,NIGH,1
HIGH,TIGH,1
HIGH,HOGH,1
NOSE,LOSE,1
NOSE,POSE,1
NOSE,ROSE,1
NOSE,TOSE,1
NOSE,NESE,1
NOSE,NOIE,1
NOSE,NOLE,1
NOSE,NOME,1
NOSE,NONE,1
NOSE,NOPE,1
NOSE,NOTE,1
NOSE,NOST,1
ABLE,AYLE,1
ABLE,ABBE,1
ABLE,ABLY,1
LANE,BANE,1
LANE,DANE,1
LANE,FANE,1
LANE,GANE,1
LANE,MANE,1
LANE,PANE,1
LANE,VANE,1
LANE,WANE,1
LANE,LENE,1
LANE,LINE,1
LANE,LONE,1
LANE,LUNE,1
LANE,LYNE,1
LANE,LACE,1
LANE,LADE,1
LANE,LAKE,1
LANE,LAME,1
LANE,LARE,1
LANE,LAVE,1
LANE,LAWE,1
LANE,LAND,1
LANE,LANG,1
LANE,LANK,1
LANE,LANT,1
LANT,CANT,1
LANT,JANT,1
LANT,RANT,1
LANT,TANT,1
LANT,VANT,1
LANT,WANT,1
LANT,LENT,1
LANT,LAFT,1
LANT,LAST,1
LANT,LAND,1
LANT,LANG,1
LANT,LANK,1
SPAN,SAAN,1
SPAN,SEAN,1
SPAN,SWAN,1
SPAN,SPIN,1
SPAN,SPUN,1
SPAN,SPAD,1
SPAN,SPAE,1
SPAN,SPAR,1
SPAN,SPAT,1
SPAN,SPAW,1
SPAN,SPAY,1
SOCK,COCK,1
SOCK,DOCK,1
SOCK,HOCK,1
SOCK,LOCK,1
SOCK,MOCK,1
SOCK,NOCK,1
SOCK,POCK,1
SOCK,ROCK,1
SOCK,SACK,1
SOCK,SECK,1
SOCK,SICK,1
SPAD,SHAD,1
SPAD,SWAD,1
SPAD,SPED,1
SPAD,SPAE,1
SPAD,SPAR,1
SPAD,SPAT,1
SPAD,SPAW,1
SPAD,SPAY,1
SPAR,SCAR,1
SPAR,SEAR,1
