word,conversion,chain length
SPY,SAY,1
SPY,SHY,1
SPY,SLY,1
SPY,SNY,1
SPY,SOY,1
SPY,STY,1
SPY,SPA,1
ZIF,GIF,1
ZIF,LIF,1
ZIF,ZIP,1
OAF,HAF,1
OAF,YAF,1
OAF,OFF,1
OAF,OLF,1
OAF,OAD,1
OAF,OAK,1
OAF,OAR,1
STY,SAY,1
STY,SHY,1
STY,SLY,1
STY,SNY,1
STY,SOY,1
LIF,GIF,1
LIF,LIB,1
LIF,LIE,1
LIF,LIG,1
LIF,LIM,1
LIF,LIN,1
LIF,LIP,1
LIF,LIT,1
LIB,BIB,1
LIB,DIB,1
LIB,FIB,1
LIB,GIB,1
LIB,JIB,1
LIB,NIB,1
LIB,RIB,1
LIB,SIB,1
LIB,LAB,1
LIB,LOB,1
LIB,LIE,1
LIB,LIG,1
LIB,LIM,1
LIB,LIN,1
LIB,LIP,1
LIB,LIT,1
LIM,AIM,1
LIM,DIM,1
LIM,GIM,1
LIM,HIM,1
LIM,NIM,1
LIM,RIM,1
LIM,VIM,1
LIM,LAM,1
LIM,LUM,1
LIM,LIE,1
LIM,LIG,1
LIM,LIN,1
LIM,LIP,1
LIM,LIT,1
LIN,BIN,1
LIN,DIN,1
LIN,FIN,1
LIN,GIN,1
LIN,HIN,1
LIN,KIN,1
LIN,NIN,1
LIN,PIN,1
LIN,SIN,1
LIN,TIN,1
LIN,WIN,1
LIN,YIN,1
LIN,LYN,1
LIN,LIE,1
LIN,LIG,1
LIN,LIP,1
LIN,LIT,1
LIT,AIT,1
LIT,BIT,1
LIT,CIT,1
LIT,DIT,1
LIT,FIT,1
LIT,GIT,1
LIT,HIT,1
LIT,KIT,1
LIT,NIT,1
LIT,RIT,1
LIT,SIT,1
LIT,WIT,1
LIT,YIT,1
LIT,LAT,1
LIT,LET,1
LIT,LOT,1
LIT,LIE,1
LIT,LIG,1
LIT,LIP,1
LIP,GIP,1
LIP,HIP,1
LIP,KIP,1
LIP,NIP,1
LIP,PIP,1
LIP,RIP,1
LIP,SIP,1
LIP,TIP,1
LIP,LAP,1
LIP,LEP,1
LIP,LOP,1
LIP,LIE,1
LIP,LIG,1
YEN,BEN,1
YEN,DEN,1
YEN,EEN,1
YEN,FEN,1
YEN,HEN,1
YEN,KEN,1
YEN,MEN,1
YEN,PEN,1
YEN,REN,1
YEN,SEN,1
YEN,TEN,1
YEN,WEN,1
YEN,YIN,1
YEN,YON,1
YEN,YEA,1
YEN,YER,1
YEN,YES,1
YEN,YET,1
YEN,YEW,1
YEN,YEX,1
YEA,KEA,1
YEA,LEA,1
YEA,PEA,1
YEA,SEA,1
YEA,TEA,1
YEA,YER,1
YEA,YES,1
YEA,YET,1
YEA,YEW,1
YEA,YEX,1
YEX,KEX,1
YEX,LEX,1
YEX,REX,1
YEX,VEX,1
YEX,WEX,1
YEX,YOX,1
YEX,YUX,1
YEX,YER,1
YEX,YES,1
YEX,YET,1
YEX,YEW,1
YES,LES,1
YES,PES,1
