word,conversion,chain length
E,A,1
E,B,1
E,C,1
E,D,1
E,F,1
E,G,1
E,H,1
E,I,1
E,J,1
E,K,1
E,L,1
E,N,1
E,O,1
E,P,1
E,Q,1
E,R,1
E,S,1
E,U,1
E,W,1
E,X,1
E,Y,1
J,A,1
J,B,1
J,C,1
J,D,1
J,F,1
J,G,1
J,H,1
J,I,1
J,K,1
J,L,1
J,N,1
J,O,1
J,P,1
J,Q,1
J,R,1
J,S,1
J,U,1
J,W,1
J,X,1
J,Y,1
U,A,1
U,B,1
U,C,1
U,D,1
U,F,1
U,G,1
U,H,1
U,I,1
U,K,1
U,L,1
U,N,1
U,O,1
U,P,1
U,Q,1
U,R,1
U,S,1
U,W,1
U,X,1
U,Y,1
G,A,1
G,B,1
G,C,1
G,D,1
G,F,1
G,H,1
G,I,1
G,K,1
G,L,1
G,N,1
G,O,1
G,P,1
G,Q,1
G,R,1
G,S,1
G,W,1
G,X,1
G,Y,1
W,A,1
W,B,1
W,C,1
W,D,1
W,F,1
W,H,1
W,I,1
W,K,1
W,L,1
W,N,1
W,O,1
W,P,1
W,Q,1
W,R,1
W,S,1
W,X,1
W,Y,1
I,A,1
I,B,1
I,C,1
I,D,1
I,F,1
I,H,1
I,K,1
I,L,1
I,N,1
I,O,1
I,P,1
I,Q,1
I,R,1
I,S,1
I,X,1
I,Y,1
X,A,1
X,B,1
X,C,1
X,D,1
X,F,1
X,H,1
X,K,1
X,L,1
X,N,1
X,O,1
X,P,1
X,Q,1
X,R,1
X,S,1
X,Y,1
B,A,1
B,C,1
B,D,1
B,F,1
B,H,1
B,K,1
B,L,1
B,N,1
B,O,1
B,P,1
B,Q,1
B,R,1
B,S,1
B,Y,1
Y,A,1
Y,C,1
Y,D,1
Y,F,1
Y,H,1
Y,K,1
Y,L,1
Y,N,1
Y,O,1
Y,P,1
Y,Q,1
Y,R,1
Y,S,1
R,A,1
R,C,1
R,D,1
R,F,1
R,H,1
R,K,1
R,L,1
R,N,1
R,O,1
R,P,1
R,Q,1
R,S,1
K,A,1
K,C,1
K,D,1
K,F,1
K,H,1
K,L,1
K,N,1
K,O,1
K,P,1
K,Q,1
K,S,1
D,A,1
D,C,1
D,F,1
D,H,1
D,L,1
D,N,1
D,O,1
D,P,1
D,Q,1
D,S,1
P,A,1
P,C,1
P,F,1
P,H,1
P,L,1
P,N,1
P,O,1
P,Q,1
P,S,1
F,A,1
F,C,1
F,H,1
F,L,1
F,N,1
F,O,1
F,Q,1
F,S,1
H,A,1
H,C,1
H,L,1
H,N,1
H,O,1
H,Q,1
H,S,1
N,A,1
N,C,1
N,L,1
N,O,1
N,Q,1
N,S,1
-,A,1
-,C,1
-,L,1
-,O,1
-,Q,1
-,S,1
O,A,1
O,C,1
O,L,1
O,Q,1
O,S,1
A,C,1
A,L,1
A,Q,1
A,S,1
Q,C,1
Q,L,1
Q,S,1
C,L,1
C,S,1
Z,L,1
Z,S,1
S,L,1
