word,conversion,chain length
SO,BO,1
SO,DO,1
SO,FO,1
SO,GO,1
SO,HO,1
SO,IO,1
SO,JO,1
SO,LO,1
SO,MO,1
SO,NO,1
SO,OO,1
SO,WO,1
SO,SI,1
SO,SY,1
LO,BO,1
LO,DO,1
LO,FO,1
LO,GO,1
LO,HO,1
LO,IO,1
LO,JO,1
LO,MO,1
LO,NO,1
LO,OO,1
LO,WO,1
LO,LU,1
LU,EU,1
LU,FU,1
LU,YU,1
YT,AT,1
YT,IT,1
YT,UT,1
YT,YA,1
YT,YE,1
YT,YU,1
MA,BA,1
MA,HA,1
MA,NA,1
MA,PA,1
MA,RA,1
MA,TA,1
MA,YA,1
MA,ME,1
MA,MI,1
MA,MO,1
MA,MY,1
MO,BO,1
MO,DO,1
MO,FO,1
MO,GO,1
MO,HO,1
MO,IO,1
MO,JO,1
MO,NO,1
MO,OO,1
MO,WO,1
MO,ME,1
MO,MI,1
MO,MY,1
MI,AI,1
MI,PI,1
MI,SI,1
MI,ME,1
MI,MY,1
MY,AY,1
MY,BY,1
MY,EY,1
MY,FY,1
MY,HY,1
MY,KY,1
MY,NY,1
MY,SY,1
MY,ME,1
NO,BO,1
NO,DO,1
NO,FO,1
NO,GO,1
NO,HO,1
NO,IO,1
NO,JO,1
NO,OO,1
NO,WO,1
NO,NA,1
NO,NE,1
NO,NY,1
NY,AY,1
NY,BY,1
NY,EY,1
NY,FY,1
NY,HY,1
NY,KY,1
NY,SY,1
NY,NA,1
NY,NE,1
OO,BO,1
OO,DO,1
OO,FO,1
OO,GO,1
OO,HO,1
OO,IO,1
OO,JO,1
OO,WO,1
OO,OD,1
OO,OE,1
OO,OF,1
OO,OH,1
OO,OM,1
OO,ON,1
OO,OR,1
OO,OS,1
OO,OX,1
OH,AH,1
OH,EH,1
OH,TH,1
OH,OD,1
OH,OE,1
OH,OF,1
OH,OM,1
OH,ON,1
OH,OR,1
OH,OS,1
OH,OX,1
OE,AE,1
OE,BE,1
OE,ME,1
OE,NE,1
OE,RE,1
OE,WE,1
OE,YE,1
OE,OD,1
OE,OF,1
OE,OM,1
OE,ON,1
OE,OR,1
OE,OS,1
OE,OX,1
OD,ID,1
OD,OF,1
OD,OM,1
OD,ON,1
OD,OR,1
OD,OS,1
OD,OX,1
OX,AX,1
OX,OF,1
OX,OM,1
OX,ON,1
OX,OR,1
OX,OS,1
OR,AR,1
OR,OF,1
OR,OM,1
OR,ON,1
OR,OS,1
PA,BA,1
PA,HA,1
PA,NA,1
PA,RA,1
PA,TA,1
PA,YA,1
PA,PI,1
PI,AI,1
PI,SI,1
RE,AE,1
RE,BE,1
RE,ME,1
RE,NE,1
RE,WE,1
RE,YE,1
RE,RA,1
RA,BA,1
RA,HA,1
RA,NA,1
RA,TA,1
RA,YA,1
SY,AY,1
SY,BY,1
SY,EY,1
SY,FY,1
SY,HY,1
SY,KY,1
SY,SI,1
SI,AI,1
TH,AH,1
TH,EH,1
TH,TA,1
TA,BA,1
TA,HA,1
TA,NA,1
TA,YA,1
UP,XP,1
UP,US,1
UP,UT,1
US,AS,1
US,IS,1
US,OS,1
US,UT,1
OM,AM,1
OM,EM,1
OM,OF,1
OM,ON,1
OM,OS,1
WO,BO,1
WO,DO,1
WO,FO,1
WO,GO,1
WO,HO,1
WO,IO,1
WO,JO,1
WO,WE,1
AM,EM,1
AM,AB,1
AM,AE,1
AM,AH,1
AM,AI,1
AM,AL,1
AM,AN,1
AM,AR,1
AM,AS,1
AM,AT,1
AM,AX,1
AM,AY,1
AN,EN,1
AN,IN,1
AN,ON,1
AN,AB,1
AN,AE,1
AN,AH,1
AN,AI,1
AN,AL,1
AN,AR,1
AN,AS,1
AN,AT,1
AN,AX,1
AN,AY,1
YA,BA,1
YA,HA,1
YA,NA,1
YA,YE,1
YA,YU,1
YE,AE,1
YE,BE,1
YE,ME,1
YE,NE,1
YE,WE,1
YE,YU,1
YU,EU,1
YU,FU,1
NA,BA,1
NA,HA,1
NA,NE,1
AR,AB,1
AR,AE,1
AR,AH,1
AR,AI,1
AR,AL,1
AR,AS,1
AR,AT,1
AR,AX,1
AR,AY,1
ZA,BA,1
ZA,HA,1
BY,AY,1
BY,EY,1
BY,FY,1
BY,HY,1
BY,KY,1
BY,BA,1
BY,BE,1
BY,BO,1
OF,IF,1
OF,ON,1
OF,OS,1
OS,AS,1
OS,IS,1
OS,ON,1
A-,E-,1
A-,I-,1
A-,AB,1
A-,AE,1
A-,AH,1
A-,AI,1
A-,AL,1
A-,AS,1
A-,AT,1
A-,AX,1
A-,AY,1
IO,BO,1
IO,DO,1
IO,FO,1
IO,GO,1
IO,HO,1
IO,JO,1
IO,ID,1
IO,IF,1
IO,IK,1
IO,IN,1
IO,IS,1
IO,IT,1
HA,BA,1
HA,HO,1
HA,HY,1
ON,EN,1
ON,IN,1
E-,I-,1
E-,EH,1
E-,EM,1
E-,EN,1
E-,EU,1
E-,EW,1
E-,EY,1
EN,IN,1
EN,EH,1
EN,EM,1
EN,EU,1
EN,EW,1
EN,EY,1
EH,AH,1
EH,EM,1
EH,EU,1
EH,EW,1
EH,EY,1
NE,AE,1
NE,BE,1
NE,ME,1
NE,WE,1
FU,EU,1
FU,FO,1
FU,FY,1
UT,AT,1
UT,IT,1
-S,AS,1
-S,IS,1
GO,BO,1
GO,DO,1
GO,FO,1
GO,HO,1
GO,JO,1
ME,AE,1
ME,BE,1
ME,WE,1
EU,EM,1
EU,EW,1
EU,EY,1
AB,AE,1
AB,AH,1
AB,AI,1
AB,AL,1
AB,AS,1
AB,AT,1
AB,AX,1
AB,AY,1
AE,BE,1
AE,WE,1
AE,AH,1
AE,AI,1
AE,AL,1
AE,AS,1
AE,AT,1
AE,AX,1
AE,AY,1
AI,AH,1
AI,AL,1
AI,AS,1
AI,AT,1
AI,AX,1
AI,AY,1
AH,AL,1
AH,AS,1
AH,AT,1
AH,AX,1
AH,AY,1
AL,AS,1
AL,AT,1
AL,AX,1
AL,AY,1
AS,IS,1
AS,AT,1
AS,AX,1
AS,AY,1
AT,IT,1
AT,AX,1
AT,AY,1
AY,EY,1
AY,FY,1
AY,HY,1
AY,KY,1
AY,AX,1
JO,BO,1
JO,DO,1
JO,FO,1
JO,HO,1
BE,WE,1
BE,BA,1
BE,BO,1
BA,BO,1
BO,DO,1
BO,FO,1
BO,HO,1
DO,FO,1
DO,HO,1
EM,EW,1
EM,EY,1
EY,FY,1
EY,HY,1
EY,KY,1
EY,EW,1
FY,HY,1
FY,KY,1
FY,FO,1
FO,HO,1
HY,KY,1
HY,HO,1
I-,ID,1
I-,IF,1
I-,IK,1
I-,IN,1
I-,IS,1
I-,IT,1
IS,ID,1
IS,IF,1
IS,IK,1
IS,IN,1
IS,IT,1
IT,ID,1
IT,IF,1
IT,IK,1
IT,IN,1
IK,ID,1
IK,IF,1
IK,IN,1
IN,ID,1
IN,IF,1
ID,IF,1
