Word Length,Size of Chain
2,17
3,28
4,27
5,13
6,13
7,8
8,5
9,4
10,3
11,2
12,2
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
