Word Length,Frequency of Words With No Chain
1,0
2,7
3,59
4,457
5,2108
6,5003
7,7895
8,10514
9,11072
10,9913
11,7687
12,5582
13,3578
14,2042
15,1079
16,518
17,247
18,107
19,48
20,19
21,14
22,9
23,5
24,5
25,5
26,1
27,1
28,0
29,0
30,2
31,1
32,0
33,0
34,0
35,1
