Chain Length,Frequency
1,6810
2,4954
3,3622
4,2711
5,2091
6,1586
7,1268
8,986
9,814
10,647
11,536
12,434
13,332
14,262
15,191
16,150
17,113
18,80
19,63
20,41
21,32
22,20
23,10
24,6
25,3
26,2
27,2
28,1
