Word,Conversions,Hops
SO,SO SY SI WO OO NO MO LO,8
SO,SO SY SI WO OO NO MO,7
SO,SO SY SI WO OO NO,6
SO,SO SY SI WO OO,5
SO,SO SY,2
SO,SO SY SI,3
SO,SO SY SI WO,4
SO,SO SY SI WO OO NO MO LO JO IO,10
SO,SO SY SI WO OO NO MO LO JO IO HO GO,12
SO,SO SY SI WO OO NO MO LO JO,9
SO,SO SY SI WO OO NO MO LO JO IO HO GO FO DO BO,15
SO,SO SY SI WO OO NO MO LO JO IO HO GO FO DO,14
SO,SO SY SI WO OO NO MO LO JO IO HO GO FO,13
LO,LO LU,2
LO,LO LU WO OO NO MO,6
LO,LO LU WO OO NO,5
LO,LO LU WO OO,4
LO,LO LU WO,3
LO,LO LU WO OO NO MO JO IO,8
LO,LO LU WO OO NO MO JO IO HO GO,10
LO,LO LU WO OO NO MO JO,7
LO,LO LU WO OO NO MO JO IO HO GO FO DO BO,13
LO,LO LU WO OO NO MO JO IO HO GO FO DO,12
LO,LO LU WO OO NO MO JO IO HO GO FO,11
LU,LU YU,2
LU,LU YU FU,3
LU,LU YU FU EU,4
MA,MA MY MO,3
MA,MA MY MO MI,4
MA,MA MY,2
MA,MA MY MO MI ME YA TA RA PA,9
MA,MA MY MO MI ME YA TA RA,8
MA,MA MY MO MI ME YA TA,7
MA,MA MY MO MI ME YA,6
MA,MA MY MO MI ME YA TA RA PA NA,10
MA,MA MY MO MI ME YA TA RA PA NA HA,11
MA,MA MY MO MI ME,5
MA,MA MY MO MI ME YA TA RA PA NA HA BA,12
MO,MO MY MI,3
MO,MO MY,2
MO,MO MY MI ME WO OO NO,7
MO,MO MY MI ME WO OO,6
MO,MO MY MI ME WO,5
MO,MO MY MI ME WO OO NO JO IO,9
MO,MO MY MI ME WO OO NO JO IO HO GO,11
MO,MO MY MI ME,4
MO,MO MY MI ME WO OO NO JO,8
MO,MO MY MI ME WO OO NO JO IO HO GO FO DO BO,14
MO,MO MY MI ME WO OO NO JO IO HO GO FO DO,13
MO,MO MY MI ME WO OO NO JO IO HO GO FO,12
MI,MI MY,2
MI,MI MY ME SI PI,5
MI,MI MY ME SI,4
MI,MI MY ME,3
MI,MI MY ME SI PI AI,6
MY,MY ME SY NY,4
MY,MY ME SY,3
MY,MY ME SY NY KY HY FY EY BY,9
MY,MY ME,2
MY,MY ME SY NY KY HY FY EY BY AY,10
MY,MY ME SY NY KY HY FY EY,8
MY,MY ME SY NY KY HY FY,7
MY,MY ME SY NY KY HY,6
NO,NO NY,2
NO,NO NY NE NA WO OO,6
NO,NO NY NE NA WO,5
NO,NO NY NE NA,4
NO,NO NY NE NA WO OO JO IO,8
NO,NO NY NE NA WO OO JO IO HO GO,10
NO,NO NY NE NA WO OO JO,7
NO,NO NY NE,3
NO,NO NY NE NA WO OO JO IO HO GO FO DO BO,13
NO,NO NY NE NA WO OO JO IO HO GO FO DO,12
NO,NO NY NE NA WO OO JO IO HO GO FO,11
NY,NY NE NA SY,4
NY,NY NE NA,3
NY,NY NE NA SY KY HY FY EY BY,9
NY,NY NE NA SY KY HY FY EY BY AY,10
NY,NY NE,2
NY,NY NE NA SY KY HY FY EY,8
NY,NY NE NA SY KY HY FY,7
NY,NY NE NA SY KY HY,6
OO,OO OX OS OR ON OM OH,7
OO,OO OX OS OR ON OM OH OF OE,9
OO,OO OX OS OR ON OM OH OF OE OD,10
OO,OO OX,2
OO,OO OX OS OR,4
OO,OO OX OS OR ON OM,6
OO,OO OX OS OR ON OM OH OF OE OD WO,11
OO,OO OX OS OR ON OM OH OF,8
OO,OO OX OS,3
OO,OO OX OS OR ON OM OH OF OE OD WO JO IO,13
OO,OO OX OS OR ON,5
OO,OO OX OS OR ON OM OH OF OE OD WO JO IO HO GO,15
OO,OO OX OS OR ON OM OH OF OE OD WO JO,12
OO,OO OX OS OR ON OM OH OF OE OD WO JO IO HO GO FO DO BO,18
OO,OO OX OS OR ON OM OH OF OE OD WO JO IO HO GO FO DO,17
OO,OO OX OS OR ON OM OH OF OE OD WO JO IO HO GO FO,16
OH,OH OX OS OR ON OM OF OE,8
OH,OH OX OS OR ON OM OF OE OD,9
OH,OH OX,2
OH,OH OX OS OR,4
OH,OH OX OS OR ON OM OF OE OD TH,10
OH,OH OX OS OR ON OM,6
OH,OH OX OS OR ON OM OF,7
OH,OH OX OS,3
OH,OH OX OS OR ON,5
OH,OH OX OS OR ON OM OF OE OD TH EH,11
OH,OH OX OS OR ON OM OF OE OD TH EH AH,12
OE,OE OX OS OR ON OM OF OD,8
OE,OE OX,2
OE,OE OX OS OR,4
OE,OE OX OS OR ON OM OF OD YE WE RE,11
OE,OE OX OS OR ON OM,6
OE,OE OX OS OR ON OM OF OD YE,9
OE,OE OX OS OR ON OM OF,7
OE,OE OX OS,3
OE,OE OX OS OR ON,5
OE,OE OX OS OR ON OM OF OD YE WE RE NE ME,13
OE,OE OX OS OR ON OM OF OD YE WE RE NE ME BE AE,15
OE,OE OX OS OR ON OM OF OD YE WE RE NE,12
OE,OE OX OS OR ON OM OF OD YE WE RE NE ME BE,14
OD,OD OX,2
OD,OD OX OS OR,4
OD,OD OX OS OR ON OM,6
OD,OD OX OS OR ON OM OF,7
OD,OD OX OS,3
OD,OD OX OS OR ON,5
OD,OD OX OS OR ON OM OF ID,8
OX,OX OS OR,3
OX,OX OS OR ON OM,5
OX,OX OS OR ON OM OF,6
OX,OX OS,2
OX,OX OS OR ON,4
OR,OR OS ON OM,4
OR,OR OS ON OM OF AR,6
OR,OR OS ON OM OF,5
OR,OR OS,2
OR,OR OS ON,3
PA,PA PI,2
PA,PA PI YA TA RA,5
PA,PA PI YA TA,4
PA,PA PI YA,3
PA,PA PI YA TA RA NA,6
PA,PA PI YA TA RA NA HA,7
PA,PA PI YA TA RA NA HA BA,8
PI,PI SI,2
PI,PI SI AI,3
RE,RE RA,2
RE,RE RA YE,3
RE,RE RA YE WE NE ME,6
RE,RE RA YE WE NE ME BE AE,8
RE,RE RA YE WE NE,5
RE,RE RA YE WE NE ME BE,7
RA,RA YA TA,3
RA,RA YA,2
RA,RA YA TA NA,4
RA,RA YA TA NA HA,5
RA,RA YA TA NA HA BA,6
SY,SY SI,2
SY,SY SI KY HY FY EY BY,7
SY,SY SI KY HY FY EY BY AY,8
SY,SY SI KY HY FY EY,6
SY,SY SI KY HY FY,5
SY,SY SI KY HY,4
SI,SI AI,2
TH,TH TA,2
TH,TH TA EH,3
TH,TH TA EH AH,4
TA,TA YA,2
TA,TA YA NA,3
TA,TA YA NA HA,4
TA,TA YA NA HA BA,5
YT,YT YU YE YA,4
YT,YT YU YE,3
YT,YT YU,2
YT,YT YU YE YA UT,5
YT,YT YU YE YA UT IT AT,7
YT,YT YU YE YA UT IT,6
UP,UP UT US,3
UP,UP UT,2
US,US UT OS,3
US,US UT,2
US,US UT OS IS AS,5
US,US UT OS IS,4
OM,OM OS ON OF EM AM,6
OM,OM OS ON OF,4
OM,OM OS,2
OM,OM OS ON,3
OM,OM OS ON OF EM,5
WO,WO WE JO IO,4
WO,WO WE JO IO HO GO,6
WO,WO WE JO,3
WO,WO WE JO IO HO GO FO DO BO,9
WO,WO WE JO IO HO GO FO DO,8
WO,WO WE JO IO HO GO FO,7
AM,AM AY AX AT AS AR AN,7
AM,AM AY AX AT AS AR,6
AM,AM AY AX AT AS AR AN AL AI AH AE AB,12
AM,AM AY AX AT AS AR AN AL AI AH AE,11
AM,AM AY AX AT AS AR AN AL AI,9
AM,AM AY AX AT AS AR AN AL AI AH,10
AM,AM AY AX AT AS AR AN AL,8
AM,AM AY AX AT AS,5
AM,AM AY AX AT,4
AM,AM AY,2
AM,AM AY AX AT AS AR AN AL AI AH AE AB EM,13
AN,AN AY AX AT AS AR,6
AN,AN AY AX AT AS AR AL AI AH AE AB ON,12
AN,AN AY AX AT AS AR AL AI AH AE AB ON IN EN,14
AN,AN AY AX AT AS AR AL AI AH AE AB,11
AN,AN AY AX AT AS AR AL AI AH AE,10
AN,AN AY AX AT AS AR AL AI,8
AN,AN AY AX AT AS AR AL AI AH,9
AN,AN AY AX AT AS AR AL,7
AN,AN AY AX AT AS,5
AN,AN AY AX AT,4
AN,AN AY,2
AN,AN AY AX AT AS AR AL AI AH AE AB ON IN,13
YA,YA YU YE,3
YA,YA YU,2
YA,YA YU YE NA,4
YA,YA YU YE NA HA,5
YA,YA YU YE NA HA BA,6
YE,YE YU,2
YE,YE YU WE NE ME,5
YE,YE YU WE NE ME BE AE,7
YE,YE YU WE NE,4
YE,YE YU WE NE ME BE,6
YU,YU FU,2
YU,YU FU EU,3
NA,NA NE HA,3
NA,NA NE,2
NA,NA NE HA BA,4
AR,AR AY AX AT AS AL AI AH AE AB,10
AR,AR AY AX AT AS AL AI AH AE,9
AR,AR AY AX AT AS AL AI,7
AR,AR AY AX AT AS AL AI AH,8
AR,AR AY AX AT AS AL,6
AR,AR AY AX AT AS,5
AR,AR AY AX AT,4
AR,AR AY,2
ZA,ZA HA,2
ZA,ZA HA BA,3
BY,BY BO BE BA KY HY FY EY AY,9
BY,BY BO BE,3
BY,BY BO BE BA,4
BY,BY BO,2
BY,BY BO BE BA KY HY FY EY,8
BY,BY BO BE BA KY HY FY,7
BY,BY BO BE BA KY HY,6
OF,OF OS,2
OF,OF OS ON,3
OS,OS ON,2
OS,OS ON IS AS,4
OS,OS ON IS,3
A-,A- AY AX AT AS AL AI AH AE AB I- E-,12
A-,A- AY AX AT AS AL AI AH AE AB,10
A-,A- AY AX AT AS AL AI AH AE,9
A-,A- AY AX AT AS AL AI,7
A-,A- AY AX AT AS AL AI AH,8
A-,A- AY AX AT AS AL,6
A-,A- AY AX AT AS,5
A-,A- AY AX AT,4
A-,A- AY,2
A-,A- AY AX AT AS AL AI AH AE AB I-,11
IO,IO IT IS IN IK IF ID JO HO GO,10
IO,IO IT IS IN IK IF ID JO,8
IO,IO IT IS IN IK IF ID JO HO GO FO DO BO,13
IO,IO IT IS IN IK IF ID JO HO GO FO DO,12
IO,IO IT IS IN IK IF ID JO HO GO FO,11
IO,IO IT IS,3
IO,IO IT,2
IO,IO IT IS IN IK,5
IO,IO IT IS IN,4
IO,IO IT IS IN IK IF ID,7
HA,HA HY HO BA,4
HA,HA HY,2
ON,ON IN EN,3
ON,ON IN,2
E-,E- EY EW EU EN,5
E-,E- EY EW EU EN EM EH,7
E-,E- EY EW EU,4
E-,E- EY EW EU EN EM,6
E-,E- EY,2
E-,E- EY EW EU EN EM EH I-,8
EN,EN EY EW EU EM EH,6
EN,EN EY EW EU,4
EN,EN EY EW EU EM,5
EN,EN EY,2
EN,EN EY EW EU EM EH IN,7
EH,EH EY EW EU,4
EH,EH EY EW EU EM AH,6
EH,EH EY EW EU EM,5
EH,EH EY,2
FU,FU FY FO EU,4
FU,FU FY,2
FU,FU FY FO,3
UT,UT IT AT,3
UT,UT IT,2
-S,-S IS AS,3
-S,-S IS,2
GO,GO JO,2
GO,GO JO HO FO DO BO,6
GO,GO JO HO FO DO,5
GO,GO JO HO FO,4
ME,ME WE BE AE,4
ME,ME WE BE,3
EU,EU EY EW EM,4
EU,EU EY,2
AB,AB AY AX AT AS AL AI AH AE,9
AB,AB AY AX AT AS AL AI,7
AB,AB AY AX AT AS AL AI AH,8
AB,AB AY AX AT AS AL,6
AB,AB AY AX AT AS,5
AB,AB AY AX AT,4
AB,AB AY,2
AE,AE AY AX AT AS AL AI,7
AE,AE AY AX AT AS AL AI AH,8
AE,AE AY AX AT AS AL,6
AE,AE AY AX AT AS,5
AE,AE AY AX AT,4
AE,AE AY,2
AE,AE AY AX AT AS AL AI AH WE BE,10
AI,AI AY AX AT AS AL AH,7
AI,AI AY AX AT AS AL,6
AI,AI AY AX AT AS,5
AI,AI AY AX AT,4
AI,AI AY,2
AH,AH AY AX AT AS AL,6
AH,AH AY AX AT AS,5
AH,AH AY AX AT,4
AH,AH AY,2
AL,AL AY AX AT AS,5
AL,AL AY AX AT,4
AL,AL AY,2
AS,AS AY AX AT,4
AS,AS AY,2
AS,AS AY AX AT IS,5
AT,AT AY,2
AT,AT AY AX IT,4
AY,AY AX KY HY FY EY,6
AY,AY AX KY HY FY,5
AY,AY AX KY HY,4
JO,JO HO FO DO BO,5
JO,JO HO FO DO,4
JO,JO HO FO,3
NE,NE WE ME BE,4
BE,BE BO BA,3
BE,BE BO,2
BA,BA BO,2
BO,BO HO FO DO,4
BO,BO HO FO,3
DO,DO HO FO,3
EM,EM EY,2
EY,EY EW KY HY FY,5
EY,EY EW KY HY,4
FY,FY FO,2
FY,FY FO KY HY,4
I-,I- IT IS,3
I-,I- IT,2
I-,I- IT IS IN IK,5
I-,I- IT IS IN,4
I-,I- IT IS IN IK IF ID,7
IS,IS IT,2
IS,IS IT IN IK,4
IS,IS IT IN,3
IS,IS IT IN IK IF ID,6
IT,IT IN IK,3
IT,IT IN,2
IT,IT IN IK IF ID,5
IK,IK IN,2
IK,IK IN IF ID,4
IN,IN IF ID,3
