Word,Conversions,Hops
LIGAMENT,LIGAMENT LIGEMENT,2
LIGAMENT,LIGAMENT LIGEMENT LINAMENT,3
LENDABLE,LENDABLE MENDABLE,2
OVERHENT,OVERHENT OVERHEAT,2
STRIVING,STRIVING STRIKING,2
RESERVEE,RESERVEE RESERVER,2
MORATION,MORATION MOTATION,2
MORATION,MORATION MOTATION RORATION,3
OVERSMAN,OVERSMAN OVERSPAN,2
INDICTEE,INDICTEE INDICTER,2
OVERTROW,OVERTROW OVERGROW,2
OVERTROW,OVERTROW OVERGROW OVERCROW,3
OVERTROW,OVERTROW OVERGROW OVERCROW OVERBROW,4
FOZINESS,FOZINESS DOZINESS COZINESS,3
SLATTING,SLATTING SLANTING SLOTTING,3
SLATTING,SLATTING SLANTING,2
SLATTING,SLATTING SLANTING SLOTTING SLITTING PLATTING,5
OVERHALE,OVERHALE OVERHALL,2
OVERHALL,OVERHALL OVERHAUL OVERFALL,3
PAINTING,PAINTING PRINTING,2
PAINTING,PAINTING PRINTING POINTING,3
VENERATE,VENERATE VENENATE GENERATE FENERATE,4
BARNACLE,BARNACLE BERNACLE,2
RAINLESS,RAINLESS REINLESS PAINLESS GAINLESS,4
INFESTER,INFESTER INFECTER ENFESTER,3
BLINDING,BLINDING BLENDING,2
TOOTHING,TOOTHING SOOTHING,2
SOLANDER,SOLANDER POLANDER,2
DELIGATE,DELIGATE DELIRATE,2
FEUTERER,FEUTERER FETTERER,2
OVERLOUD,OVERLOUD OVERLORD,2
OVERLOUD,OVERLOUD OVERLORD OVERLOAD,3
PILLWORT,PILLWORT PILLWORM PILEWORT,3
MATERNAL,MATERNAL MATERIAL,2
SANTALIN,SANTALIN SANTALIC,2
REEDLESS,REEDLESS WEEDLESS SEEDLESS,3
REEDLESS,REEDLESS WEEDLESS SEEDLESS HEEDLESS DEEDLESS,5
REEDLESS,REEDLESS WEEDLESS SEEDLESS HEEDLESS,4
CIMBRIAN,CIMBRIAN CUMBRIAN CAMBRIAN,3
HEMITONE,HEMITONE SEMITONE,2
BATEMENT,BATEMENT BASEMENT,2
DRAINING,DRAINING TRAINING,2
MISPRINT,MISPRINT MISPOINT,2
MANELESS,MANELESS MATELESS,2
SNAPWEED,SNAPWEED KNAPWEED,2
FOLDLESS,FOLDLESS FORDLESS FOODLESS GOLDLESS,4
FOLDLESS,FOLDLESS FORDLESS FOODLESS,3
FOLDLESS,FOLDLESS FORDLESS,2
SWEATING,SWEATING SWEARING,2
FOREFEND,FOREFEND FOREWEND FORELEND,3
FOREFEND,FOREFEND FOREWEND,2
BARTERER,BARTERER BATTERER,2
DILUTION,DILUTION DILATION,2
SHOALING,SHOALING SHOADING SHEALING,3
NUGATION,NUGATION NUTATION,2
GRIMNESS,GRIMNESS TRIMNESS,2
SPRINGER,SPRINGER SPRINTER STRINGER,3
SPRINGER,SPRINGER SPRINTER,2
INFLAMED,INFLAMED INFLAMER,2
MOROSITY,MOROSITY TOROSITY POROSITY,3
FELLABLE,FELLABLE TELLABLE,2
WHITLING,WHITLING WHIRLING,2
WHITLING,WHITLING WHIRLING WHIMLING,3
CINCTURE,CINCTURE VINCTURE TINCTURE,3
SAILLESS,SAILLESS SOILLESS,2
SAILLESS,SAILLESS SOILLESS TAILLESS NAILLESS,4
REPORTER,REPORTER RETORTER RESORTER,3
GOLDLESS,GOLDLESS GOODLESS,2
INSECTED,INSECTED INSERTED INVECTED,3
CHLORINE,CHLORINE CHLORITE,2
SMACKING,SMACKING STACKING,2
FEROCITY,FEROCITY FERACITY,2
AUDITIVE,AUDITIVE ADDITIVE,2
SETIFORM,SETIFORM SEMIFORM,2
SETIFORM,SETIFORM SEMIFORM RETIFORM,3
STEEVING,STEEVING STEERING STEENING,3
STEEVING,STEEVING STEERING,2
AVULSION,AVULSION EVULSION,2
ADFECTED,ADFECTED AFFECTED,2
INFINITY,INFINITY INFINITO,2
FLASHING,FLASHING FLUSHING,2
BOOKLESS,BOOKLESS BOOTLESS,2
PACATION,PACATION VACATION,2
INCREATE,INCREATE INCREASE,2
STEENING,STEENING STEERING,2
INVECTED,INVECTED INVERTED,2
DISPONER,DISPONER DISPONEE,2
DISPONEE,DISPONEE DISPONGE,2
ABROGATE,ABROGATE ARROGATE,2
CONFRACT,CONFRACT CONTRACT,2
PEDERERO,PEDERERO PETERERO,2
PATTERER,PATTERER PALTERER BATTERER,3
SIMONIAL,SIMONIAL SIMONIAN,2
GAMENESS,GAMENESS GAMELESS TAMENESS,3
FOREHAND,FOREHAND FOREHEND FORELAND,3
OVERWALK,OVERWALK OVERTALK,2
PECTORAL,PECTORAL SECTORAL,2
INDRENCH,INDRENCH INTRENCH,2
ASSERTER,ASSERTER ASSERTOR ASSENTER,3
FOODLESS,FOODLESS FOOTLESS FORDLESS WOODLESS HOODLESS,5
FOODLESS,FOODLESS FOOTLESS FORDLESS,3
FOODLESS,FOODLESS FOOTLESS FORDLESS WOODLESS HOODLESS GOODLESS,6
FOODLESS,FOODLESS FOOTLESS,2
TAMENESS,TAMENESS TAMELESS,2
IMPOISON,IMPOISON EMPOISON,2
STELLION,STELLION STILLION,2
OVERLORD,OVERLORD OVERLOAD,2
OVERLORD,OVERLORD OVERLOAD OVERWORD,3
NUTATION,NUTATION NUDATION NATATION MUTATION LUTATION,5
TRACTITE,TRACTITE TRACTIVE TRACTILE,3
TIRELESS,TIRELESS TIDELESS WIRELESS,3
TIRELESS,TIRELESS TIDELESS WIRELESS HIRELESS,4
UNDERSAY,UNDERSAY UNDERSKY UNDERPAY UNDERLAY,4
ROASTING,ROASTING TOASTING COASTING BOASTING,4
ROASTING,ROASTING TOASTING COASTING,3
OVERCOLD,OVERCOLD OVERHOLD,2
ANTIPOPE,ANTIPOPE ANTIPOLE,2
TOCOLOGY,TOCOLOGY TOPOLOGY,2
XERAPHIM,XERAPHIM TERAPHIM SERAPHIM,3
CUPULATE,CUPULATE CUMULATE COPULATE,3
BASHLESS,BASHLESS BASELESS,2
DEFORMER,DEFORMER DEFORMED DEFORSER REFORMER,4
DEFORMER,DEFORMER DEFORMED,2
LUTATION,LUTATION LUXATION LUNATION,3
LUTATION,LUTATION LUXATION,2
FLIGHTED,FLIGHTED FLIGHTER,2
FLIGHTER,FLIGHTER SLIGHTER PLIGHTER,3
FLIGHTER,FLIGHTER SLIGHTER,2
DISPREAD,DISPREAD DESPREAD,2
FETTERED,FETTERED FETTERER,2
MISTRESS,MISTRESS MASTRESS,2
LIBERATE,LIBERATE LITERATE,2
DOXOLOGY,DOXOLOGY DOSOLOGY,2
TEMPERER,TEMPERER TEMPERED TAMPERER,3
WINDLESS,WINDLESS WINDLASS WINGLESS,3
WINDLESS,WINDLESS WINDLASS WINGLESS WINELESS,4
WINDLESS,WINDLESS WINDLASS WINGLESS WINELESS RINDLESS,5
WINDLESS,WINDLESS WINDLASS WINGLESS WINELESS RINDLESS KINDLESS,6
VENOMOUS,VENOMOUS VENEMOUS,2
LINGERER,LINGERER FINGERER,2
SHEDDING,SHEDDING SHEADING,2
NASIFORM,NASIFORM NARIFORM NAPIFORM VASIFORM,4
NASIFORM,NASIFORM NARIFORM NAPIFORM,3
FLUORENE,FLUORENE FLUORINE,2
GRINTING,GRINTING GRINDING PRINTING,3
DEFENSOR,DEFENSOR DEFENSER,2
WIRINESS,WIRINESS WILINESS WARINESS,3
TOLLABLE,TOLLABLE TILLABLE TELLABLE,3
FEDERATE,FEDERATE FENERATE,2
IONIDIUM,IONIDIUM GONIDIUM,2
FOREWARN,FOREWARN FOREWARD,2
FOREWARN,FOREWARN FOREWARD FOREWORN,3
FOREWARD,FOREWARD FOREWORD,2
SOILLESS,SOILLESS SOULLESS TOILLESS,3
LIMATION,LIMATION LIBATION,2
RELESSEE,RELESSEE RELEASEE,2
VALIDITY,VALIDITY VAPIDITY,2
ROTIFORM,ROTIFORM RETIFORM,2
FORESLOW,FORESLOW FORESHOW,2
STINGING,STINGING STINKING,2
EXTORTER,EXTORTER EXPORTER,2
LAZINESS,LAZINESS MAZINESS HAZINESS,3
REMITTEE,REMITTEE REMITTER,2
DISMOUNT,DISMOUNT DISCOUNT,2
PIPEVINE,PIPEVINE PIPERINE,2
SEAMLESS,SEAMLESS SEATLESS,2
SEAMLESS,SEAMLESS SEATLESS SEEMLESS,3
EMPIERCE,EMPIERCE ENPIERCE,2
SHIRTING,SHIRTING SKIRTING,2
STEADING,STEADING SHEADING,2
STERLING,STERLING STEELING STARLING,3
SPICULAR,SPICULAR SPECULAR APICULAR,3
PAINABLE,PAINABLE PAWNABLE WAINABLE GAINABLE,4
ABLATION,ABLATION ABLUTION,2
FORESHEW,FORESHEW FORESHOW,2
PIPERINE,PIPERINE VIPERINE,2
XERONATE,XERONATE PERONATE,2
OVERGROW,OVERGROW OVERCROW,2
OVERGROW,OVERGROW OVERCROW OVERBROW,3
EPIBOLIC,EPIBOLIC EPIPOLIC EPICOLIC,3
EASELESS,EASELESS BASELESS,2
VAPIDITY,VAPIDITY SAPIDITY,2
VASIFORM,VASIFORM VARIFORM,2
INDORSED,INDORSED INDORSEE,2
JANGLING,JANGLING JINGLING,2
NOSELESS,NOSELESS NOTELESS,2
LUNATION,LUNATION LUXATION,2
COLUMBIA,COLUMBIA COLUMBIN COLUMBIC,3
COLUMBIA,COLUMBIA COLUMBIN,2
HEELLESS,HEELLESS HEEDLESS,2
HURONIAN,HURONIAN TURONIAN,2
SEATLESS,SEATLESS MEATLESS,2
BOASTING,BOASTING TOASTING COASTING,3
STAYLESS,STAYLESS STARLESS,2
VESPIARY,VESPIARY VESTIARY,2
OVERRATE,OVERRATE OVERRAKE OVERLATE,3
TRITHING,TRITHING TRETHING,2
LINAMENT,LINAMENT LINIMENT,2
LAVEMENT,LAVEMENT SAVEMENT,2
MURIFORM,MURIFORM MUCIFORM PURIFORM,3
MURIFORM,MURIFORM MUCIFORM,2
CURDLESS,CURDLESS CURELESS,2
OVERNEAT,OVERNEAT OVERHEAT,2
WARINESS,WARINESS WARMNESS WAXINESS WAVINESS,4
CONJURER,CONJURER CONJUROR,2
FORECAST,FORECAST FOREPAST,2
OVERGIVE,OVERGIVE OVERLIVE,2
REVEALER,REVEALER REPEALER,2
RECANTER,RECANTER RECENTER,2
PICIFORM,PICIFORM PISIFORM,2
CHESIBLE,CHESIBLE CHASIBLE,2
SEEDNESS,SEEDNESS SEEDLESS,2
HOODLESS,HOODLESS HOOFLESS WOODLESS GOODLESS,4
OVERTIME,OVERTIME OVERTIRE,2
YIELDING,YIELDING WIELDING FIELDING,3
OVERWEAK,OVERWEAK OVERWEAR,2
INACTIVE,INACTIVE UNACTIVE ENACTIVE,3
INFLAMER,INFLAMER INFLATER,2
ROUNDING,ROUNDING SOUNDING POUNDING,3
ROUNDING,ROUNDING SOUNDING POUNDING HOUNDING FOUNDING BOUNDING,6
ROUNDING,ROUNDING SOUNDING POUNDING HOUNDING,4
ROUNDING,ROUNDING SOUNDING POUNDING HOUNDING FOUNDING,5
ALLIGATE,ALLIGATE ABLIGATE,2
BACKHAND,BACKHAND BACKBAND,2
RAMBLING,RAMBLING RUMBLING,2
HORRIBLE,HORRIBLE HORRIBLY,2
WANTLESS,WANTLESS WATTLESS WARTLESS,3
RESENTER,RESENTER RESETTER REPENTER RECENTER,4
RESENTER,RESENTER RESETTER,2
ENTHRONE,ENTHRONE UNTHRONE,2
MUTACISM,MUTACISM MYTACISM,2
WORDLESS,WORDLESS WOODLESS FORDLESS,3
SWEARING,SWEARING SHEARING,2
