Word,Conversions,Hops
UNTREATABLE,UNTREATABLE INTREATABLE ENTREATABLE,3
CONVERSABLY,CONVERSABLY CONVERSABLE,2
GAP-TOOTHED,GAP-TOOTHED GAT-TOOTHED GAG-TOOTHED,3
POMOLOGICAL,POMOLOGICAL HOMOLOGICAL,2
DEGRADATION,DEGRADATION DEGRAVATION,2
UNCONSTANCY,UNCONSTANCY INCONSTANCY,2
ATTITUDINAL,ATTITUDINAL APTITUDINAL ALTITUDINAL,3
COMFORTMENT,COMFORTMENT COMPORTMENT,2
INTERMEDIAE,INTERMEDIAE INTERMEDIAN INTERMEDIAL,3
SPINIGEROUS,SPINIGEROUS SPINIFEROUS,2
CHELIFEROUS,CHELIFEROUS CHYLIFEROUS,2
CORRUPTNESS,CORRUPTNESS CORRUPTRESS CORRUPTLESS,3
HELIOGRAPHY,HELIOGRAPHY HALIOGRAPHY,2
CHLOROMETRY,CHLOROMETRY CHLORIMETRY,2
NATIONALIST,NATIONALIST RATIONALIST,2
COLORIMETRY,COLORIMETRY CHLORIMETRY,2
SEDUCTIVELY,SEDUCTIVELY REDUCTIVELY,2
PENTACONTER,PENTACONTER PENTECONTER,2
ARRESTATION,ARRESTATION ARRENTATION,2
HALIOGRAPHY,HALIOGRAPHY HAGIOGRAPHY,2
STELOGRAPHY,STELOGRAPHY STENOGRAPHY,2
INALIENABLY,INALIENABLY INALIENABLE,2
INEXCUSABLY,INEXCUSABLY INEXCUSABLE,2
INCENSATION,INCENSATION INTENSATION,2
DUPLICATION,DUPLICATION DEPLICATION,2
VERMICULITE,VERMICULITE VERMICULATE,2
