Word,Conversions,Hops
PETTISH,PETTISH WETTISH,2
PETTISH,PETTISH WETTISH TETTISH LETTISH,4
CORDITE,CORDITE CORDATE CONDITE,3
CORDITE,CORDITE CORDATE,2
SPARGER,SPARGER SPARKER,2
BRUTISM,BRUTISM BRUTISH,2
RIDDLER,RIDDLER PIDDLER,2
RIDDLER,RIDDLER PIDDLER MIDDLER FIDDLER,4
RIDDLER,RIDDLER PIDDLER MIDDLER FIDDLER DIDDLER,5
TORMENT,TORMENT TORRENT TORPENT,3
TORMENT,TORMENT TORRENT,2
BEDDING,BEDDING BENDING BEADING BUDDING,4
BEDDING,BEDDING BENDING BEADING BUDDING YEDDING,5
BEDDING,BEDDING BENDING BEADING,3
BEDDING,BEDDING BENDING BEADING BUDDING YEDDING WEDDING,6
SIMITAR,SIMITAR SIMILAR,2
GLISTER,GLISTER GLISTEN GLITTER GLYSTER,4
GLISTER,GLISTER GLISTEN GLITTER,3
WATCHET,WATCHET WATCHES,2
WATCHET,WATCHET WATCHES WATCHER,3
WATCHES,WATCHES WATCHER,2
WATCHER,WATCHER PATCHER MATCHER,3
WATCHER,WATCHER PATCHER,2
SICCATE,SICCATE SACCATE,2
GRANTEE,GRANTEE GRANTER,2
GRANTER,GRANTER GRANTOR GRAFTER,3
OVERFLY,OVERFLY OVERTLY,2
OVERFLY,OVERFLY OVERTLY OVERPLY,3
CABBLER,CABBLER RABBLER GABBLER BABBLER,4
CABBLER,CABBLER RABBLER GABBLER,3
INTWINE,INTWINE UNTWINE ENTWINE,3
DUPABLE,DUPABLE DURABLE,2
FLUSTER,FLUSTER FLUSHER CLUSTER BLUSTER,4
FLUSTER,FLUSTER FLUSHER,2
MATCHER,MATCHER MARCHER PATCHER,3
CHOPPER,CHOPPER CHIPPER,2
CHOPPER,CHOPPER CHIPPER CROPPER,3
CHOPPER,CHOPPER CHIPPER CROPPER SHOPPER,4
UNNERVE,UNNERVE INNERVE,2
STILLER,STILLER STIFLER STELLER STALLER SWILLER SPILLER,6
STILLER,STILLER STIFLER,2
