Word,Conversions,Hops
DISULPHIDE,DISULPHIDE BISULPHIDE,2
GRASSINESS,GRASSINESS GLASSINESS,2
ARROGATION,ARROGATION ADROGATION,2
ABSENTMENT,ABSENTMENT ASSENTMENT,2
OSTEOPLAST,OSTEOPLAST OSTEOCLAST OSTEOBLAST,3
SEPOSITION,SEPOSITION REPOSITION DEPOSITION,3
HETEROGONY,HETEROGONY HETEROGENY,2
EXUBERANCY,EXUBERANCY EXUBERANCE,2
SEBIFEROUS,SEBIFEROUS SETIFEROUS,2
DELIGATION,DELIGATION DELIRATION,2
DELIGATION,DELIGATION DELIRATION DELIBATION DELEGATION,4
PLANOMETER,PLANOMETER PLANIMETER PLATOMETER,3
GENERATION,GENERATION VENERATION,2
PHEASANTRY,PHEASANTRY PLEASANTRY,2
INFALLIBLY,INFALLIBLY INFALLIBLE,2
DENEGATION,DENEGATION DELEGATION,2
ENCLOISTER,ENCLOISTER UNCLOISTER,2
SLABBINESS,SLABBINESS SHABBINESS SCABBINESS,3
PAGINATION,PAGINATION SAGINATION,2
DEFECTIBLE,DEFECTIBLE DEPECTIBLE,2
ENFOLDMENT,ENFOLDMENT UNFOLDMENT,2
CONTACTION,CONTACTION CONTECTION,2
DEAURATION,DEAURATION DEPURATION,2
MONOTOMOUS,MONOTOMOUS MONOTONOUS MONOTOCOUS,3
FICTITIOUS,FICTITIOUS FACTITIOUS,2
CONDESCEND,CONDESCEND CONDESCENT,2
RETAILMENT,RETAILMENT RETAINMENT,2
LAMINATION,LAMINATION LUMINATION,2
INVENDIBLE,INVENDIBLE INVENTIBLE,2
COVENANTEE,COVENANTEE COVENANTER,2
LITERALIST,LITERALIST LITERALISM,2
LITERALIST,LITERALIST LITERALISM LIBERALIST,3
IMPASSABLE,IMPASSABLE IMPASSIBLE,2
REBATEMENT,REBATEMENT DEBATEMENT,2
PERMIXTION,PERMIXTION PERMISTION,2
DELEGATION,DELEGATION RELEGATION,2
SETIGEROUS,SETIGEROUS SETIFEROUS,2
HAEMATOLIN,HAEMATOLIN HAEMATOSIN,2
SEMATOLOGY,SEMATOLOGY HEMATOLOGY,2
PROFECTION,PROFECTION PROVECTION PROTECTION PROJECTION,4
PROFECTION,PROFECTION PROVECTION,2
PREVENANCY,PREVENANCY PREVENANCE,2
RAMBLINGLY,RAMBLINGLY RUMBLINGLY,2
PROJECTION,PROJECTION PROVECTION,2
RELEVATION,RELEVATION RELEGATION,2
ABNEGATION,ABNEGATION ABLEGATION,2
CONSORTION,CONSORTION CONSERTION CONTORTION,3
HULOTHEISM,HULOTHEISM HYLOTHEISM,2
RUMBLINGLY,RUMBLINGLY JUMBLINGLY,2
INFUCATION,INFUCATION INFUMATION,2
CHANGEABLY,CHANGEABLY CHANCEABLY,2
INFERIORLY,INFERIORLY INTERIORLY,2
MARTIALIST,MARTIALIST MARTIALISM PARTIALIST,3
RESUDATION,RESUDATION DESUDATION,2
PARTIALIST,PARTIALIST PARTIALISM,2
AURIFEROUS,AURIFEROUS AERIFEROUS,2
SETIFEROUS,SETIFEROUS FETIFEROUS,2
DIGESTIBLE,DIGESTIBLE DIVESTIBLE,2
OBTURATION,OBTURATION OBJURATION,2
DISCONSENT,DISCONSENT DISCONTENT,2
CONTECTION,CONTECTION CONVECTION CONFECTION,3
ROVINGNESS,ROVINGNESS MOVINGNESS,2
ROVINGNESS,ROVINGNESS MOVINGNESS LOVINGNESS,3
ABLEGATION,ABLEGATION ALLEGATION ADLEGATION,3
MOVINGNESS,MOVINGNESS LOVINGNESS,2
VESICULATA,VESICULATA VESICULATE,2
